sample_id	population	country	location	sex	LATN	LONE	coverage
AB0103-C	BFgam	Burkina Faso	Bana	F	11.233	-4.472	31.85
AB0104-C	BFgam	Burkina Faso	Bana	F	11.233	-4.472	33.23
AB0211-C	BFgam	Burkina Faso	Bana	F	11.233	-4.472	35.06
AB0117-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	24.3
AB0118-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	34.57
AB0119-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	26.69
AB0126-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	22.76
AB0127-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	30.3
AB0128-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	30.44
AB0129-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	27.21
AB0130-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	27.77
AB0150-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	31.74
AB0151-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	41.85
AB0153-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	31.02
AB0155-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	32.1
AB0157-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	29.07
AB0158-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	29.43
AB0159-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	30.17
AB0160-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	22.43
AB0161-C	BFgam	Burkina Faso	Bana	M	11.233	-4.472	40.53
AB0085-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	28.01
AB0108-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	12.01
AB0172-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	26.98
AB0173-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	24.85
AB0174-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	23.1
AB0175-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	28.02
AB0176-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	26.12
AB0177-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	21.14
AB0178-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	31.55
AB0179-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	28.93
AB0197-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	34.41
AB0198-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	34.53
AB0199-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	31.1
AB0200-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	31.3
AB0201-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	31.77
AB0202-C	BFgam	Burkina Faso	Pala	F	11.15	-4.235	36.99
